,News,Comedy,Game-Show,Action,Sport,Horror,Thriller,Short,Crime,Talk-Show,Family,Documentary,Musical,Western,Drama,Adventure,History,Fantasy,Romance,War,Animation,Music,Adult,Sci-Fi,Film-Noir,Biography,Reality-TV,Mystery
News,1.0,0.7716912173682717,0.14363002594192567,0.027641611380427904,0.10268402884553712,0.024723408821707437,0.01748209003187664,0.14987770075422854,0.07620266377083003,0.779767848343668,0.08384115846826506,0.4835307187658505,0.027641611380427904,0.0,0.12111947263081502,0.049446817643414874,0.14834045293024464,0.0,0.021411100107746935,0.030279868157703754,0.030279868157703754,0.072080503757985,0.04099913530008314,0.021411100107746935,0.0,0.0891415182109249,0.13765411456518006,0.024723408821707437
Comedy,0.127734447831432,1.0,0.10022082098589227,0.26687491519700285,0.09733860301812804,0.17137863118352942,0.08557319293249917,0.2214789794079172,0.2380608637066549,0.19039328310326906,0.3434223430839389,0.13164080981415963,0.12881156841328337,0.05425259231137466,0.5073318182879571,0.3172627587449396,0.07286222997513393,0.20058780496780043,0.34585810075988044,0.07786227932300907,0.3911781966115257,0.17665971533342795,0.07490231338696621,0.1247663657065583,0.008436596778067124,0.06586014913200883,0.09927640939810435,0.11645236316366808
Game-Show,0.09466658937512895,0.3990662228740743,1.0,0.21230720534729663,0.06961314847631861,0.1262221191668386,0.05875319902929809,0.023044900641260895,0.024442808272808696,0.047508279737891415,0.3631857331894421,0.22490925767989664,0.016295205515205795,0.0,0.04955993276570136,0.41672419500185837,0.0636348117969842,0.03907453014434162,0.22283358400470601,0.0,0.07857263553362549,0.27605828811803806,0.0,0.008147602757602897,0.0,0.02155653067796134,0.7822547309878972,0.052802500785657215
Action,0.00668935979080614,0.39017952479929974,0.07795328840397926,1.0,0.19223036679068997,0.15210021462973514,0.22881130929370413,0.11113199133190989,0.4593501102219752,0.00598314528727852,0.13851982802246826,0.0625374648311605,0.03946155340958739,0.07673835760861958,0.5685247492910755,0.6980499990785425,0.10384678999861192,0.1948430347591838,0.13029664061470655,0.093746550647433,0.5927769299784463,0.03488743234999142,0.03663913252692562,0.20036838042320493,0.00897471793091778,0.07123461519648183,0.055161873970506745,0.12323681746557655
Sport,0.07175294628585914,0.41092018046964596,0.07380344312214761,0.5550570646547351,1.0,0.03114489487771214,0.08285316570657907,0.1811930483161421,0.09618913865641673,0.08766652774322846,0.18078077690978225,0.46041642681023554,0.040515997308529755,0.034552158600162114,0.49123036100388195,0.1740516761546494,0.11621293795536143,0.029923047103329357,0.22342319194323754,0.029923047103329357,0.19276574654187087,0.05858603531389477,0.03958447055234057,0.034552158600162114,0.025914118950121585,0.22968090995975332,0.16434991297969515,0.03958447055234057
Horror,0.00967924508703914,0.4053454745543065,0.07497511005192509,0.2460604221533305,0.01744950723455126,1.0,0.4190677198679752,0.31583867648402514,0.2360525585528447,0.015304230253019205,0.07621445202983632,0.16687928039900646,0.05664632955305019,0.03841331306872395,0.5613962150482701,0.1717895585252956,0.06946165093726914,0.4091699800914453,0.11615094104446967,0.03352988853932646,0.16890213341174456,0.058075470522234836,0.08976162626160208,0.2709756480762317,0.015304230253019205,0.03210242420759972,0.07758505149500068,0.38528988573981804
Thriller,0.006798082395453747,0.2010325266252409,0.034663554789430236,0.3676625197745632,0.04610683805844199,0.41624031764524283,1.0,0.21679382133197334,0.5021616051625919,0.004806970160890233,0.04758657676817622,0.060231163479109256,0.030401948705758366,0.03399041197726873,0.6875983944823069,0.13321466478607077,0.08157698874544496,0.11415921618518865,0.1734510440736843,0.07570024179397904,0.05828141584390597,0.03295492709749767,0.04685254957983036,0.22618314294107686,0.03224613613669099,0.0396392914250855,0.07780760938015341,0.3784096250167128
Short,0.050814549009181406,0.4536480930262367,0.011854258722108855,0.1556929513473384,0.08791353560054425,0.2735163095946257,0.18901874807684793,1.0,0.12712276244964862,0.0410643567855181,0.1752767503795296,0.40653799632463294,0.09172699471698773,0.07874387102919099,0.5290938267772678,0.09520379464795377,0.09182269322472321,0.1579888533401312,0.18478960553483142,0.08949769070478605,0.3565157225003584,0.1347037136161095,0.05184120926825029,0.18776000767280773,0.0,0.08340210289680558,0.03976039248825778,0.12390394221407283
Crime,0.01963896411330791,0.3706567821307989,0.009557582003990565,0.4891826551856511,0.035476242984429474,0.15539033366982904,0.33281190715138287,0.0966319385100921,1.0,0.011920399101642996,0.0684033294387415,0.2504499883222123,0.03914851130731914,0.02795581390486568,0.8316866077735413,0.25115819006644485,0.11348999824030137,0.13717710813098113,0.14025025662590992,0.024471060123285888,0.11727256544234928,0.04725395013219171,0.06275417739087236,0.06765736025257049,0.08447037860522602,0.1458553680142905,0.07116673653996504,0.5171408524314135
Talk-Show,0.5945325496990752,0.8769956873047966,0.054957646399318355,0.018850317200490786,0.09565491261768685,0.029804968485099878,0.009425158600245393,0.09234731726162299,0.03526571429812411,1.0,0.09611813524271623,0.11696314229074932,0.033982892612565166,0.0,0.03998756135995335,0.009425158600245393,0.05247706216846719,0.01332918711998445,0.023086829315405746,0.009425158600245393,0.0639245357701553,0.3781826537138441,0.01632485356501978,0.03264970713003956,0.0,0.07239601690526214,0.11504872264100621,0.01332918711998445
Family,0.028902090991128577,0.7152140922771454,0.18995436672203428,0.1973161979999921,0.08918409371275975,0.06710829246166714,0.04218551797627604,0.17821540950675774,0.09149572669363334,0.04345772804156318,1.0,0.18861123819097547,0.13009431068423027,0.10797366974420232,0.5528802926489279,0.4007284352965653,0.08826306289697108,0.28028096602729424,0.21114271241549917,0.030132512840197172,0.48123424885006777,0.16965434289474973,0.0,0.13854403811628505,0.0,0.07117909301024236,0.1338100723745221,0.08999487487727652
Documentary,0.13430081909573233,0.22089234169893912,0.09477863106646935,0.0717750765737925,0.1830073628609132,0.11839241331470392,0.043021224975466045,0.3330463514445084,0.2699151014676773,0.04260821165375593,0.15196730580008316,1.0,0.04879874249676606,0.024996020997319183,0.21375920726708914,0.16802956570186384,0.3282330321360769,0.054935480650640564,0.04903972540676877,0.14363225218383477,0.09699165986586024,0.24865986428339842,0.036010511365544985,0.07028132773947408,0.0,0.3206939555929153,0.1964591603389074,0.1328002041857971
Musical,0.02495325642529748,0.7025128354238397,0.02231887105077943,0.14720306456282567,0.05234239225902137,0.1306178439977104,0.07057846732405855,0.24423617176109086,0.1371294395381416,0.04023591699202704,0.3406827808396655,0.158605379012052,1.0,0.06695661315233828,0.5577485429033718,0.14334554477024897,0.09981302570118993,0.2348789465909646,0.4396307745515004,0.06507013172217511,0.2108513254513303,0.24828176658071038,0.04175478436580197,0.08786948319644575,0.0,0.11270477419800663,0.031563650136868515,0.10105298660661673
Western,0.0,0.2340708919296821,0.0,0.22645540682891915,0.03531260356281063,0.07007127538005777,0.06242445360153908,0.16586589642419558,0.07746670967243985,0.0,0.22368520583996399,0.06426990860346503,0.05296890534421594,1.0,0.6406951061158945,0.2657258753358558,0.0887218184160493,0.031830350703961514,0.15316269354138837,0.04671418358670517,0.03303191599175254,0.1466642577083043,0.053699545449784974,0.04993956288123126,0.0,0.04140769806785099,0.04140769806785099,0.05583412868452918
Drama,0.017659456110886998,0.4468800592182828,0.010963332083062502,0.34252441193444727,0.1024971323627317,0.2090738402659458,0.25781319138286873,0.22753331462894175,0.4705162610934137,0.007646768804522241,0.2338419742203444,0.1122105242461392,0.0900819801712235,0.1308047052076052,1.0,0.24681814501757177,0.18649861396790057,0.22232687160120013,0.3687402691566274,0.1400980426485481,0.19536292956062437,0.1254551800026278,0.060747844542552054,0.14438022917944435,0.05088278430777183,0.1650316880831013,0.026611536707329235,0.337975070675579
Adventure,0.012898059564381042,0.4999662069951134,0.164923771106695,0.7524044657727573,0.06497217474315757,0.11445892414507398,0.08936037793823065,0.07324689810479254,0.25420550623106675,0.0032245148910952605,0.3032244377184022,0.15780368689461508,0.04141964372948768,0.09705736258678649,0.4415702070941057,1.0,0.10278062182834563,0.2313125934137138,0.11617207140788105,0.05768187592759467,0.6970398868095026,0.03442839781706432,0.039754489494899216,0.17144597397356517,0.007898416151189457,0.08227253539404687,0.15588120096126346,0.11930705097052463
History,0.08025005642584077,0.23813527221140207,0.052231081432617794,0.23214408578573603,0.08997117407580946,0.09598374936994648,0.11349071817863016,0.14651588715165131,0.23822915562613214,0.03723445035690788,0.13851370514006153,0.6393128578658168,0.05981486045545792,0.06720859047230275,0.6919871052600286,0.21316257328054794,1.0,0.17592078230213753,0.23387151496032815,0.3227370646209436,0.12385432033431075,0.12000298147757105,0.0320721458628893,0.14280602203143833,0.0,0.445108577535936,0.13524641262821513,0.16312577322142463
Fantasy,0.0,0.5331610038976442,0.02608318376891174,0.35422728893280825,0.01884027797527997,0.45982116254404076,0.1291624383740626,0.20501881649782977,0.23418094171325965,0.0076915112752720186,0.35771729723901796,0.08701951648508215,0.11447180907117047,0.019609583040815472,0.6708832253586455,0.3901499666538739,0.14307037992324706,1.0,0.240905205691744,0.031243066495000194,0.3506603770495572,0.09544914477058468,0.11212208061192842,0.21211007143238772,0.005438719780317634,0.03768055595055994,0.05678190152259075,0.24774547657081036
Romance,0.006672006408545298,0.6511048758489112,0.10535293192838505,0.16777586742558764,0.09963430283789967,0.09245003270420486,0.13899568543591764,0.16984155512168936,0.16957925140512475,0.009435641951204965,0.1908629252115845,0.055018774314460395,0.15175453764585217,0.06683117167962997,0.7880879526313171,0.13878201015902486,0.13471285983857645,0.17062604684879698,1.0,0.11117786456327942,0.1610982164011611,0.13338451652932803,0.10300275676521754,0.09017499079491108,0.02001601922563589,0.0757794257534416,0.15302039787310112,0.1559975405849913
War,0.02449244830545123,0.3804879049205662,0.0,0.31333746014036457,0.03463755256929106,0.06927510513858212,0.15746441182629692,0.21352021408671187,0.07680377748491808,0.009999000149975004,0.07070360811132631,0.41828818653961564,0.05830368887105519,0.052909735512262815,0.7772253110669823,0.17886755233899762,0.4825488880042489,0.05743988276427456,0.2885885363823964,1.0,0.07999200119980003,0.06402484021039964,0.04122693376891377,0.05743988276427456,0.0,0.1526281131764841,0.0,0.06082154345271424
Animation,0.008121675340887527,0.633872349768724,0.03197506779215797,0.6569945087148231,0.07399198374452993,0.11571606154542438,0.04020024195695994,0.2820455673705816,0.12205052370123037,0.022487900731163205,0.3744347777431738,0.09366372924237966,0.06264755234959656,0.01240606400649112,0.35939369311785097,0.7167426420628944,0.061406883907769536,0.2137765243562143,0.13866437687784314,0.02652528058895875,1.0,0.09037834962412726,0.044853418102245066,0.13694920423572113,0.0,0.052320233459201906,0.027341633404355692,0.07712028612870962
Music,0.04002826522552691,0.59268236395466,0.23259386438445256,0.08005653045105382,0.046559276822636934,0.08237749022264344,0.0470626349845298,0.22063655658950937,0.10182130305998434,0.2754483963261409,0.2733014548125184,0.49716443838391233,0.15273195458997652,0.11404647100845174,0.4778308669576827,0.07329590910942568,0.12318426769571088,0.12047659050440648,0.23770422540363226,0.043956108688624644,0.18712064986535304,1.0,0.03567049961640671,0.05448758818969234,0.013729581703773907,0.25547722895516317,0.22476293931127003,0.06548593103143394
Adult,0.037037037037037035,0.4087824972599647,0.0,0.1367683233103697,0.05117402071909314,0.20711860605023164,0.10884329882319604,0.138129235668458,0.21996610062035118,0.019341961772855316,0.0,0.11712139482105108,0.041783412949464166,0.06792673737990577,0.37638218484800323,0.13767709293104965,0.05355546707268305,0.23021539278076336,0.2986021388258722,0.046043078556152674,0.15106555066784214,0.058025885318565944,1.0,0.13947686988018843,0.0,0.04026350418552659,0.041783412949464166,0.10941465864829576
Sci-Fi,0.012066305532015329,0.4247842280247101,0.00696648474703332,0.46659848590805186,0.02786593898813328,0.390060940117799,0.3277951313605107,0.31209540661376345,0.14794556866808212,0.024132611064030658,0.2264911225308728,0.1426003863148395,0.054854155752323545,0.03940838884527929,0.558058477887011,0.3704047904773123,0.14876340557131462,0.2716929051342995,0.16308122679326106,0.04001940805548454,0.28774196426744103,0.055294758458924634,0.08701136660219211,1.0,0.0,0.030366203004035756,0.03686317230594976,0.3105364787505606
Film-Noir,0.0,0.1393068293159525,0.0,0.1013606067599229,0.1013606067599229,0.10684346079267205,0.22664920695581228,0.0,0.895830014860584,0.0,0.0,0.0,0.0,0.0,0.9538434628376784,0.0827605888602368,0.0,0.033786868919974296,0.17556172079419585,0.0,0.0,0.06757373783994859,0.0,0.0,1.0,0.04778184825674966,0.0,0.2846932178863808
Biography,0.05346693912025916,0.23865114819179067,0.01961700354099557,0.17655303186896013,0.19714844564609355,0.049182430702737506,0.061141784051574305,0.14754729210821252,0.3394527173756307,0.05695208869582337,0.12384707447479257,0.6925346042760939,0.07488308644489768,0.03477723026514314,0.6789054347512614,0.1891795311265234,0.4934981325364184,0.05136937350561654,0.1458609819597886,0.11317789467855575,0.1169993163312936,0.2759361097582177,0.02673346956012958,0.03231918875091572,0.010485729457933805,1.0,0.0399284682005486,0.06548335947654374
Reality-TV,0.06727341686913788,0.29311353493643544,0.5800307201666931,0.1113966427458074,0.11494416482699213,0.09684990643295491,0.09778748789113031,0.05731309986159447,0.1349531159928763,0.07374384501216355,0.18970164691854266,0.3456781916296244,0.017087464972234536,0.028336354965621306,0.08919918588520064,0.2920532207700869,0.12217836183400735,0.06307334921574474,0.23998613047993161,0.0,0.04981809312897684,0.1978017076007279,0.022604591426529895,0.031967719767301166,0.0,0.03253356404573384,1.0,0.17457252017896488
Mystery,0.009074051513445923,0.25821217670920504,0.029403287471319213,0.1869012327702344,0.020791263960147268,0.3611996844148787,0.35715932444539,0.13413032011743073,0.7364670372763794,0.006416323357993666,0.09581614066459122,0.17548380456578513,0.04108451560877577,0.028694670388187113,0.8507739919295623,0.16786995299874957,0.11066995354076326,0.20667135901745717,0.18373553944774756,0.027597650271992354,0.10552852728048302,0.04328046727176415,0.044453592215343916,0.20224145371068697,0.03822965855090647,0.04006992652774734,0.1311035593293901,1.0
